text,AE
It should be recognized that ibuprofen may be associated with salt and water retention in the same fashion as previously described with phenylbutazone and indomethacin.,"['salt and water retention', 'salt and water retention', 'salt and water retention']"
Allopurinol-associated hand and foot deformities in chronic tophaceous gout.,['hand and foot deformities']
Telescoped digits of the hands and feet developed in a 69-year-old male with severe chronic tophaceous gout during allopurinol treatment.,['Telescoped digits of the hands and feet']
"A patient with coccidioidal meningitis was treated with intrathecally administered amphotericin B, and an acute toxic delirium with EEG abnormalities developed.","['acute toxic delirium', 'EEG abnormalities']"
Neurotoxicity of intrathecal administration of amphotericin B.,['Neurotoxicity']
"Cardiac glycosides are thought to prevent doxorubicin cardiomyopathy by competitively inhibiting doxorubicin at its receptor sites, but ouabain has a much shorter half life than doxorubicin and its metabolites and so is less effective than digoxin.",['cardiomyopathy']
Doxorubicin cardiotoxicity: possible role of digoxin in its prevention.,['cardiotoxicity']
"Minor electrocardiographical changes were noted in five out of six patients who were not receiving a cardiac glycoside and four out of six who were receiving ouabain, and none of the 16 who were receiving digoxin.",['Minor electrocardiographical changes']
One other patient on digoxin stopped taking it and developed cardiomyopathy.,['cardiomyopathy']
One patient on ouabain also developed cardiomyopathy.,['cardiomyopathy']
"A toxic encephalopathy characterized by depressed level of consciousness, marked irritability, and ataxia developed in seven children, 5 years of age and younger, following administration of an antiemetic combination of pentobarbital and pyrilamine maleate.","['ataxia', 'ataxia', 'depressed level of consciousness', 'depressed level of consciousness', 'marked irritability', 'marked irritability', 'toxic encephalopathy', 'toxic encephalopathy']"
Acute leukopenia associated with silver sulfadiazine therapy.,['Acute leukopenia']
Oral 25-hydroxyvitain D3 in treatment of osteomalacia associated with ileal resection and cholestyramine therapy.,['ileal resection']
Severe histological osteomalacia developed in a woman with Crohn's disease 2 years after ileal resection and the start of cholestyramine therapy.,['osteomalacia']
Cyclophosphamide can rarely cause interstitial pneumonitis and fibrosis.,"['fibrosis', 'interstitial pneumonitis']"
Cyclophosphamide pneumonitis.,['pneumonitis']
"The temporal sequence of the respiratory insufficiency and the histopathology, when compared to the previous examples in the literature, suggest that cyclophosphamide was aetiologically responsible for the lung disease.","['lung disease', 'respiratory insufficiency']"
Four patients receiving high-dose tamoxifen for greater than 1 year have demonstrated similar retinal changes.,['retinal changes']
Tamoxifen retinopathy.,['retinopathy']
These findings suggest that the corneal and retinal changes are the result of a toxic effect of tamoxifen when used in the doses and duration described.,['corneal and retinal changes']
A case history of a 15-year-old boy who developed incapacitating tardive dyskinesia that resolved during treatment with deanol is presented.,['tardive dyskinesia']
A case is reported of a child with fatal pulmonary fibrosis following BCNU therapy.,['fatal pulmonary fibrosis']
"Fatal pulmonary fibrosis following 1,3-bis(2-chloroethyl)-1-nitrosourea (BCNU) therapy.","['Fatal pulmonary fibrosis', 'Fatal pulmonary fibrosis']"
Charcoal haemoperfusion and cysteamine therapy led to the rapid removal of the paracetamol from the body and consequently prevented the development of severe hepatic necrosis.,['severe hepatic necrosis']
Catatonia associated with disulfiram therapy.,['Catatonia']
Neurophysiological mechanisms which aid in elucidating the role of disulfiram in the etiology of catatonia are discussed.,['catatonia']
This is the first report of a catatonic syndrome occurring in a patient receiving disulfiram treatment.,['catatonic syndrome']
Life-threatening hyperkalemia induced by arginine.,['hyperkalemia']
Marked hyperkalemia was observed during and immediately after an infusion of arginine monohydrochloride in two patients with severe hepatic disease and moderate renal insufficiency.,['Marked hyperkalemia']
Interstitial fibrosis of the lung is a potential complication of methotrexate therapy for psoriasis.,['Interstitial fibrosis of the lung']
Progressive interstitial fibrosis with roentgenographic honeycombing developed in the case of a psoriatic patient who had been on a regimen of methotrexate for 18 years.,['Progressive interstitial fibrosis']
Progressive interstitial lung disease from prolonged methotrexate therapy.,['Progressive interstitial lung disease']
Monoclonal gammopathy and subsequent multiple myeloma in a patient on chronic diphenylhydantoin therapy.,"['Monoclonal gammopathy', 'multiple myeloma']"
The development of an IgG lambda-type monoclonal gammopathy and subsequent multiple myeloma in an epilepsy patient on diphenylhydantoin (DILANTIN) therapy for 20 years is reported.,"['IgG lambda-type monoclonal gammopathy', 'IgG lambda-type monoclonal gammopathy', 'multiple myeloma', 'multiple myeloma']"
We recommended periodic examination of the serum proteins in patients receiving diphenylhydantoin in order to detect development of monoclonal gammopathy.,['monoclonal gammopathy']
Five patients are described in whom only gentamicin sulfate appeared responsible for acute renal failure.,['acute renal failure']
Gentamicin-associated acute renal failure.,['acute renal failure']
"Renal failure appeared 8 to 17 days after beginning gentamicin therapy and was characterized by creatinine clearances 4 to 10 ml/min, urine to plasma creatinine ratios less than 20, urinary sodium concentrations 16 to 60 mEq/liter, proteinuria, and cylindruria.",['Renal failure']
Diphenylhydantoin apparently adversely affected both the clinical and biochemical parameters of the acute intermittent porphyria.,['acute intermittent porphyria']
Significant clinical improvement of the porphyria followed withdrawal of the diphenylhydantoin.,['porphyria']
"Sudden death in an infant from methemoglobinemia after administration of ""sweet spirits of nitre"".",['Sudden death']
"The administration of ""sweet spirits of nitre"" (4% ethyl nitrite CH3CH2ONO in 70% ethyl alcohol) was followed by acute methemoglobinemia and severe anoxic metabolic acidosis in infant twins, Methylene blue administration reversed methemoglobinemia in both, but one twin died from the consequences of hypoxemia.","['acute methemoglobinemia', 'acute methemoglobinemia', 'died', 'died', 'hypoxemia', 'hypoxemia', 'severe anoxic metabolic acidosis', 'severe anoxic metabolic acidosis']"
Hepatotoxicity of paracetamol enhanced by ingestion of alcohol: report of two cases.,['Hepatotoxicity']
The biochemistry of paracetamol hepatotoxicity is outlined and the increased susceptibility of alcoholic patients to the hepatotoxic effects of paracetamol is remarked upon.,"['hepatotoxic effects', 'hepatotoxicity']"
Two fatal cases of poisoning by paracetamol are described.,['fatal']
Oculomotor disturbances associated with 5-fluorouracil chemotherapy.,['Oculomotor disturbances']
The ocular motor disturbances are probably an expression of regional 5-FU neurotoxicity primarily affecting the brain stem.,"['neurotoxicity', 'ocular motor disturbances']"
Two patients treated with 5-fluorouracil (5-FU) for disseminated adenocarcinoma of the colon developed cerebellar dysfunction typical of 5-FU neurotoxicity.,"['cerebellar dysfunction', 'cerebellar dysfunction', 'cerebellar dysfunction', 'neurotoxicity', 'neurotoxicity', 'neurotoxicity']"
A patient is described who developed a poorly differentiated sarcoma after cyclophosphamide was used to treat his rheumatoid arthritis.,['sarcoma']
Sarcoma complicating therapy with cyclophosphamide.,['Sarcoma']
"Acetazolamide may have accelerated the development of osteomalacia by several mechanisms, including increased renal calcium excretion.",['osteomalacia']
Acetazolamide-accelerated anticonvulsant osteomalacia.,['osteomalacia']
"Severe osteomalacia was present in two epileptic patients who were under long-term treatment with congeners of phenytoin, phenobarbital, and acetazolamide.","['Severe osteomalacia', 'Severe osteomalacia', 'Severe osteomalacia']"
The use of beclomethasone diproprionate inhaler complicated by the development of an eosinophilic pneumonia reaction.,['eosinophilic pneumonia reaction']
"A drug addict with staphylococcal endocarditis treated with methicillin, who developed massive proteinuria and acute nephritic syndrome is described.","['acute nephritic syndrome', 'massive proteinuria']"
"Focal glomerulonephritis and interstitial nephritis in methicillin-treated, heroin-related infective endocarditis.","['Focal glomerulonephritis', 'interstitial nephritis']"
In one instance a systemic hypoglycemic reaction resulting in head trauma and confusion ended in an emegency hospital admission following the substitution of acetohexamide for acetazolamide.,"['confusion', 'head trauma', 'systemic hypoglycemic reaction']"
An elderly man with procainamide hydrochloride-induced lupus syndrome had a circulating anticoagulant against factor XI and a biologic false-positive (BFP) test result for syphilis.,['lupus syndrome']
Circulating anticoagulant in the procainamide-induced lupus syndrome.,['lupus syndrome']
"Finally, reserpine toxicity, in particular central nervous system (CNS) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive CNS effects.",['reserpine toxicity']
Nephropathy caused by methicillin therapy for staphylococcal septicemia.,['Nephropathy']
"Review of the literature relating to methicillin-induced nephropathy suggests a hypersensitivity origin for this disorder, but immunologic and ultrastructural investigation to date has failed to elucidate pathogenesis.",['nephropathy']
A 55-year-old woman developed symptoms suggestive of hepatitis 12 weeks after first receiving methyldopa for hypertension.,['hepatitis']
Methyldopa-induced liver injury.,['liver injury']
"Such a rapid and relentless progression of methyldopa-induced liver injury is undoubtedly rare, but it may be prevented by careful supervision of patients who exhibit liver function abnormalities early in the course of therapy.",['liver injury']
A case of prolonged suxamethonium apnoea successfully terminated by the infusion of a commercial preparation of serumcholinesterase is reported.,['apnoea']
Suxamethonium apnoea terminated with commercial serumcholinesterase.,['apnoea']
"Case 2 demonstrated after 40 months on chlorambucil the presence of a balanced translocation, t (1;5) (p36;q31) in 90% of the cells.",['balanced translocation']
Chromosome abnormalities after chlorambucil therapy of polycythaemia vera.,['Chromosome abnormalities']
"A patient with psoriasis is described who had an abnormal response to the glucose tolerance test without other evidence of diabetes and then developed postprandial hyperglycemia and glycosuria during a period of topical administration of a corticosteroid cream, halcinonide cream 0.1%, under occlusion.","['glycosuria', 'postprandial hyperglycemia']"
A second patient with a similar glucose tolerance test result showed postprandial hyperglycemia when treated similarly with betamethasone valerate cream 0.1%.,['postprandial hyperglycemia']
A fatal case of pancytopenia due to levomepromazine.,['fatal case of pancytopenia']
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.","['fatal pancytopenia', 'fatal pancytopenia', 'fatal pancytopenia']"
Lithium treatment was terminated in 1975 because of lithium intoxication with a diabetes insipidus-like syndrome.,"['diabetes insipidus-like syndrome', 'diabetes insipidus-like syndrome', 'lithium intoxication', 'lithium intoxication']"
Acute erythroid leukemia after cyclophosphamide therapy for multiple myeloma: report of two cases.,['Acute erythroid leukemia']
The development of erythroid leukemia plus carcinoma in these two men suggests mutagenic change secondary to cyclophosphamide therapy.,['carcinoma']
Spontaneous bacterial peritonitis induced by intraarterial vasopressin therapy.,['bacterial peritonitis']
"After seven months' continuous treatment for suspected tuberculosis with rifampicin and ethambutol a nine-year-old boy developed polyarthritis, rash and hepatitis in association with anti-native DNA antibodies and positive antinuclear factor.","['anti-native DNA antibodies', 'hepatitis', 'polyarthritis', 'rash']"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.","['anti-native DNA antibodies', 'anti-native DNA antibodies', 'hepatitis', 'hepatitis', 'Polyarthritis', 'Polyarthritis']"
Presented is a case of acute renal failure induced by acetazolamide therapy for glaucoma.,['acute renal failure']
Renal failure associated with acetazolamide therapy for glaucoma.,['Renal failure']
This sulfonamide like nephropathy should be differentiated from acetazolamide-related calcium phosphate nephrolithiasis.,['calcium phosphate nephrolithiasis']
There is a putative role of liothyronine administration in precipitating or activating hyperthyroidism.,['hyperthyroidism']
Triiodothyronine-induced thyrotoxicosis in ophthalmic Graves disease.,['thyrotoxicosis']
Infant twins sustained severe circumoral and pharyngeal burns from a concentrated solution of benzalkonium (Zephiran) chloride prescribed for treatment of candidiasis.,"['circumoral and pharyngeal burns', 'circumoral and pharyngeal burns']"
A 60-year-old white man with chronic bronchitis was noted to develop acute respiratory failure and metabolic acidosis four days after being started on methazolamide (Neptazane) for an ophthalmologic problem.,"['acute respiratory failure', 'acute respiratory failure', 'metabolic acidosis', 'metabolic acidosis']"
Fulminant hepatic failure developed in a 24-year-old black woman who had been treated with propylthiouracil and propranolol for hyperthyroidism.,"['Fulminant hepatic failure', 'Fulminant hepatic failure']"
Fulminant hepatitis and lymphocyte sensitization due to propylthiouracil.,['Fulminant hepatitis']
These observations indicate that submassive hepatic necrosis may result from treatment with propylthiouracil and are consistent with the notion that sensitization mechanisms may be responsible for the hepatic injury induced by this drug.,"['hepatic injury', 'submassive hepatic necrosis']"
"A 71-year-old man, who had a history of a previous bullous drug reaction to a sulfonamide, began receiving an ophthalmic preparation that contained sulfacetamide sodium.",['bullous drug reaction']
"The patient received only the ophthalmic sulfonamide, and it was used for one day, but he developed Stevens-Johnson syndrome.",['Stevens-Johnson syndrome']
The sulfonamides are the best verified drug-trigger for erythema multiforme and Stevens-Johnson syndrome.,"['erythema multiforme', 'Stevens-Johnson syndrome']"
"A case is reported in which severe hypocalcemia, with a low plasma parathyroid hormone (PTH) concentration, resulted from the therapeutic use of magnesium sulfate for toxemia of pregnancy.","['low plasma parathyroid hormone', 'PTH', 'severe hypocalcemia']"
"Proliferation of abnormal bone marrow histiocytes, an undesired effect of granulocyte macrophage-colony-stimulating factor therapy in a patient with Hurler's syndrome undergoing bone marrow transplantation.",['Proliferation of abnormal bone marrow histiocytes']
"A 14-year-old female developed systemic lupus erythematosus (SLE)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ANA) two weeks after administration of carbamazepine (CBZ; Tegretol) used against benign Rolandic epilepsy.","['fever', 'fever', 'fever', 'leukopenia', 'leukopenia', 'leukopenia', 'positive anti-nuclear antibody', 'positive anti-nuclear antibody', 'positive anti-nuclear antibody', 'rash', 'rash', 'rash', 'systemic lupus erythematosus (SLE)-like symptoms', 'systemic lupus erythematosus (SLE)-like symptoms', 'systemic lupus erythematosus (SLE)-like symptoms']"
Carbamazepine-induced systemic lupus erythematosus-like disease.,['systemic lupus erythematosus-like disease']
The cases of CBZ-induced SLE reported in the literature were reviewed.,['SLE']
"A patient suffering from heparin-associated thrombocytopenia (HAT), recurrent arteriothromboses, and acute renal failure after treatment with standard heparin is described.","['acute renal failure', 'acute renal failure', 'HAT', 'HAT', 'recurrent arteriothromboses', 'recurrent arteriothromboses', 'thrombocytopenia', 'thrombocytopenia']"
"By means of the in vitro heparin-induced platelet activation (HIPA) assay it was shown that standard heparin and the LMW heparins Fragmin and Fraxiparin (Sanofi Labaz, Munich, FRG), as well as the enoxaparine Clexane (Nattermann, Cologne, FRG), all induced platelet activation with the patient's serum.","['platelet activation', 'platelet activation', 'platelet activation', 'platelet activation']"
Heparin-associated thrombocytopenia: successful therapy with the heparinoid Org 10172 in a patient showing cross-reaction to LMW heparins.,['thrombocytopenia']
Hemodynamic collapse following labetalol administration in preeclampsia.,['Hemodynamic collapse']
"A patient with Parkinson's disease, initially treated with bromocriptine and subsequently with cabergoline, developed progressive pleuropulmonary abnormalities during the latter therapy.","['pleuropulmonary abnormalities', 'pleuropulmonary abnormalities']"
"Pleuropulmonary changes during treatment of Parkinson's disease with a long-acting ergot derivative, cabergoline.",['Pleuropulmonary changes']
Thus cabergoline may cause similar pleuropulmonary abnormalities to bromocriptine.,"['pleuropulmonary abnormalities', 'pleuropulmonary abnormalities']"
Acute myopathy with selective degeneration of myosin filaments following status asthmaticus treated with methylprednisolone and vecuronium.,"['Acute myopathy', 'Acute myopathy', 'degeneration of myosin filaments', 'degeneration of myosin filaments']"
Flaccid quadriparesis was noted after discontinuation of vecuronium.,['Flaccid quadriparesis']
"This entity is probably related to a combination of high doses of corticosteroids, vecuronium administration and metabolic abnormalities associated with respiratory failure.",['respiratory failure']
"A patient with ulcerative colitis developed skin pigmentation and diffuse pulmonary shadowing without respiratory symptomatology, while taking sulfasalazine.","['diffuse pulmonary shadowing', 'skin pigmentation']"
Pulmonary infiltrates and skin pigmentation associated with sulfasalazine.,"['Pulmonary infiltrates', 'skin pigmentation']"
"Sulfasalazine-induced lung disorder is an extremely rare entity which must be considered in all ulcerative colitis patients while on sulfasalazine therapy, despite the absence of pulmonary symptomatology.","['lung disorder', 'ulcerative colitis', 'ulcerative colitis']"
"Although an association between exposure to bleomycin and the development of scleroderma has been suspected, few cases are reported.",['scleroderma']
Our series of 3 patients supports a causal connection between bleomycin and scleroderma.,['scleroderma']
Scleroderma in association with the use of bleomycin: a report of 3 cases.,['Scleroderma']
We describe the development of cutaneous scleroderma in 3 patients coincident with the use of bleomycin in low cumulative doses of less than 100 U.,['cutaneous scleroderma']
A patient presented with dilated cardiomyopathy after many years of overusing an adrenaline inhaler.,['dilated cardiomyopathy']
Dilated cardiomyopathy associated with chronic overuse of an adrenaline inhaler.,['Dilated cardiomyopathy']
"A 21-year-old woman suffering from bipolar affective disorder developed systemic lupus erythematosus (SLE) with characteristic laboratory findings, 18 months after starting carbamazepine maintenance treatment.","['SLE', 'systemic lupus erythematosus']"
"Although both the spontaneous occurrence of SLE and the psychosis as a sign of CNS involvement of SLE cannot be excluded, SLE could be considered as an adverse effect of carbamazepine.","['SLE', 'SLE', 'SLE']"
Carbamazepine-induced systemic lupus erythematosus.,['systemic lupus erythematosus']
